eventid,questionid,questiondesc,statements,statementdescs
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Minnie Mouse,Goodie Galina,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Maize Moore,Goodie Galina,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Minnie Mouse,Goodie Galina,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Minnie Mouse,Daisy Duck,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Maize Moore,Goodie Galina,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Minnie Mouse,Maize Moore,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Daisy Duck,Minnie Mouse,Maize Moore"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Maize Moore,Daisy Duck,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Goodie Galina,Minnie Mouse,Maize Moore"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Goodie Galina,Daisy Duck,Maize Moore"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Goodie Galina,Minnie Mouse,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Daisy Duck,Minnie Mouse,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Goodie Galina,Maize Moore"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Daisy Duck,Goodie Galina,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Maize Moore,Minnie Mouse,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Minnie Mouse,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Maize Moore,Minnie Mouse,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Goodie Galina,Maize Moore,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Minnie Mouse,Goodie Galina,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Minnie Mouse,Goodie Galina,Maize Moore"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Minnie Mouse,Goodie Galina,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Minnie Mouse,Daisy Duck,Maize Moore"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Maize Moore,Daisy Duck,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Goodie Galina,Daisy Duck,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Daisy Duck,Minnie Mouse,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Minnie Mouse,Maize Moore,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Minnie Mouse,Maize Moore,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Daisy Duck,Maize Moore,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Minnie Mouse,Goodie Galina,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Maize Moore,Minnie Mouse,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Goodie Galina,Maize Moore"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Goodie Galina,Maize Moore"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Goodie Galina,Minnie Mouse,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Minnie Mouse,Goodie Galina,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Goodie Galina,Minnie Mouse,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Maize Moore,Minnie Mouse,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Maize Moore,Daisy Duck,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Goodie Galina,Maize Moore,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Minnie Mouse,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Daisy Duck,Minnie Mouse,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Minnie Mouse,Maize Moore,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Minnie Mouse,Maize Moore,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Daisy Duck,Minnie Mouse,Maize Moore"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Goodie Galina,Daisy Duck,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Daisy Duck,Maize Moore,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Maize Moore,Daisy Duck,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Maize Moore,Daisy Duck,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Minnie Mouse,Maize Moore,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Goodie Galina,Minnie Mouse,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Maize Moore,Goodie Galina,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Goodie Galina,Minnie Mouse,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Daisy Duck,Goodie Galina,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Minnie Mouse,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Minnie Mouse,Goodie Galina,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Goodie Galina,Maize Moore"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Goodie Galina,Daisy Duck,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Goodie Galina,Maize Moore,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Maize Moore,Minnie Mouse,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Daisy Duck,Maize Moore,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Minnie Mouse,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Minnie Mouse,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Minnie Mouse,Daisy Duck,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Maize Moore,Goodie Galina,Daisy Duck"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Daisy Duck,Goodie Galina,Maize Moore,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Maize Moore,Daisy Duck,Goodie Galina,Minnie Mouse"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Minnie Mouse,Daisy Duck,Maize Moore,Goodie Galina"
500023351,500023351001,Who would you nominate as candidate for President,"500023351001001,500023351001002,500023351001003,500023351001004","Goodie Galina,Maize Moore,Minnie Mouse,Daisy Duck"
